Tube.number,Bird.ID,Inoculation.Date,Treatment,Diet,Clutch#,Egg#,Date.Laid,Egg.Mass.Day.Laid,Egg.Mass.Freezer,Yolk.Mass,sampleID,Estrone,Estradiol,Androstenedione,Testosterone,Dehydroepiandrosterone,Etiocholanolone,11-Ketotestoterone,Progesterone,Pregnenolone,17a-hydroxyprogesterone,17a-hydroxypregnenolone,Dihydroprogesterone,11-Dexoycortisol,Cortisone,5b-dihydrocortisone,20b-DHP,Cortisol,5b-dihydrocortisol,5b-tetrahydrocortisone,5b-tetrahydrocortisol,b-cortol,Corticosterone,5b-tetrahydrocorticosterone,11-tetrahydrocorticosterone,5b-corticosterone,Deoxycorticosterone,20_-dihydrocorticosterone,5_-dihydroproggesterone,Pregnanolone
73,Blue-015,2/24/20,MG,Lipid,1,1,4/25/20,2.1452,2.08,0.4705,RP73,0,0,0.9,5.6,0,53.3,0,208.1,1518.1,0.2,9.717036012,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,249.9,26.04321644
74,615,5/11/20,Control,Protein,1,3,7/7/20,1.9522,1.8864,0.3258,RP74,0,0,0.2,4.1,0,74.4,0,172.8,1724.7,0,18.35050114,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,508.3,71.61857991
75,Blue-010,5/11/20,Control,Lipid,1,6,7/7/20,1.9439,1.8679,0.3541,RP75,0,0,11.3,32.7,3.217626948,165.4,0,128.2,2658.2,0,23.74974847,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.7,74.17866893
76,209,5/11/20,MG,Lipid,1,1,8/11/20,2.2777,2.2087,0.5108,RP76,0,0,0.4,3.3,0,86.4,0,200.8,1267.9,0,27.80910917,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,379.1,37.5880971
77,Blue-010,5/11/20,Control,Lipid,1,3,7/4/20,1.7662,1.6848,0.4251,RP77,0,0,3.7,24.8,1.58786168,103.5,0,161.8,1915.5,0.2,10.89867684,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,443.5,66.18050655
78,615,5/11/20,Control,Protein,1,2,7/6/20,1.8646,1.7657,0.366,RP78,0,0,0.5,4.3,0,57.7,0,88.8,1361.8,0,25.10820341,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,348.1,61.20218579
79,617,3/17/20,Control,Protein,1,3,6/2/20,2.2262,2.1346,0.3681,RP79,0,0,1.5,30.9,3.047564549,203.6,0,142.3,2626.1,0,34.97586997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6,792.5,62.30191071
80,Blue-024,2/24/20,Control,Protein,1,1,4/25/20,2.5011,2.3795,0.682,RP80,0,0,0.1,0.7,0,29.4,0,113.2,796,0,3.228496866,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,325,27.95698925
81,AR 17-21,5/11/20,MG,Lipid,1,3,7/16/20,1.6555,1.6052,0.3859,RP81,0,0,0.1,1.8,0,70.6,0,43.6,1579.5,0,6.815157862,0,0,0,0,0,3.1,0,0,0,0,0,0,0.6,0,0,0.7,290.5,39.04292995
82,619,3/17/20,MG,Lipid,1,3,5/18/20,1.7206,1.5976,0.3271,RP82,0,0,3.8,56.7,6.293215036,240.7,0,153,3139.7,0.3,31.92731604,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,619.2,69.7034546
83,619,3/17/20,MG,Lipid,1,2,5/17/20,1.9219,1.8235,0.3345,RP83,0,0,5.8,62.7,4.0692682,281,0,57.2,2519.8,0.3,43.60883696,0.4,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,529.4,35.51569507
84,Blue-031,2/24/20,MG,Lipid,1,1,4/25/20,2.2228,2.1326,0.5511,RP84,0,0,2.3,17.4,1.772084458,117.9,0,187.4,1754.1,0,11.847309,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,230,23.68596141
85,SEM 19-74,3/17/20,MG,Protein,1,2,5/27/20,2.1533,2.0348,0.3709,RP85,0,0,1.3,8.5,2.327575822,138.5,0,232.7,1681.9,0,19.5408639,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,446.5,78.72741979
86,AR 17-21,5/11/20,MG,Lipid,1,1,7/13/20,1.9521,1.8832,0.47,RP86,0,0,0.5,6.2,0,91.3,0,153.1,1887.9,0,9.662307242,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,314.4,34.60992908
87,101-LS,2/24/20,MG,Lipid,1,3,5/1/20,2.4646,2.3494,0.4044,RP87,0,0,3.3,43.3,2.770061241,104.8,0,252.9,3144,0.3,40.45711244,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.4,58.02835476
88,48,1/13/20,Control,Lipid,1,1,3/20/20,2.5334,2.4533,0.5916,RP88,0,0,0.7,4.7,0,92.1,0,140.3,1078.6,0,13.07809848,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0.8,424.2,52.51295921
89,SEM 19-74,3/17/20,MG,Protein,1,3,5/28/20,2.0259,1.982,0.3408,RP89,0,0,2.2,27.3,0,206.3,0,124.3,2072.6,0,34.05371064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,586.9,108.7636933
90,SEM 19-107,5/11/20,MG,Protein,1,2,7/20/20,2.0011,1.9464,0.3894,RP90,0,0,0,1.6,0,104.3,0,52.5,827.5,0,38.36373375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.6,97.58602979
91,Blue-010,5/11/20,Control,Lipid,1,4,7/5/20,1.8097,1.74,0.3629,RP91,0,0,6.1,35.9,5.188698604,146.4,0,141.9,2790.6,0.6,24.05865762,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,386.1,47.02856618
92,164,5/11/20,Control,Protein,1,1,7/24/20,2.4637,2.4248,0.5118,RP92,0,0,0.6,8.2,1.565189195,90.5,0,211.7,1777.1,0,10.63584423,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0,1.1,303.7,26.3123616
93,LD 19-239,5/11/20,MG,Lipid,1,1,7/16/20,2.305,0.1632,0.4751,RP93,0,0,3.7,54.3,2.945628468,128.5,0,421.4,3708.5,0,15.02983116,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1.2,388.8,25.34203326
94,Blue-049,1/13/20,Control,Protein,1,6,3/18/20,1.9645,1.8275,0.3758,RP94,0,0,1.2,12.8,0,134.9,0,42.8,1655.7,0,18.06543594,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,488.1,146.5318432
95,Blue-024,2/24/20,Control,Protein,1,4,4/28/20,2.1436,2.0085,0.4799,RP95,0,0,2.4,11.5,1.532899141,86.9,0,7.3,919.5,0,12.99965016,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,148.9,9.946516635
96,Blue-013,3/2/20,Control,Protein,1,3,5/22/20,2.1071,2.0574,0.2791,RP96,0,0,1.8,16.8,2.275551354,331.4,0,60.3,2075.8,0,39.66440843,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,798.7,48.72805446
97,Blue-032,2/24/20,MG,Protein,1,4,4/24/20,2.3537,2.2619,0.5772,RP97,0,0,0.5,9.4,0,104.3,0,24.1,1122,0,13.21893524,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,249.4,35.34303534
98,LD 19-239,5/11/20,MG,Lipid,1,3,7/18/20,2.0267,1.9955,0.4145,RP98,0,0,3.7,57.5,4.889253908,138.4,0,234.1,3400.5,0,21.9121081,0.7,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.8,335,36.67068758
99,164,5/11/20,Control,Protein,1,2,7/25/20,2.4998,2.4535,0.4472,RP99,0,0,1.8,21.1,1.930451414,119.7,0,197.9,2878.6,0,11.38582987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9,36.07632677
100,SEM 19-74,3/17/20,MG,Protein,1,1,5/26/20,2.4248,2.3252,0.402,RP100,0,0,0.9,5.3,0,136.2,0,193.1,1595.2,0,28.56512544,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,443.6,72.96849088
101,Blue-047,3/17/20,Control,Lipid,1,4,5/15/20,2.2647,2.1621,0.3484,RP101,0,0,0.5,11.7,1.974069912,179.5,0,19.6,1148.1,0,34.97860029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.4,25.71756602
102,Blue-042,1/13/20,MG,Protein,1,3,3/17/20,2.0706,1.9786,0.4913,RP102,0,0,2.9,30.6,3.023892322,102,0,23.3,1205.1,0,17.27302775,0.4,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1.3,116.7,6.838998575
103,Blue-049,1/13/20,Control,Protein,1,4,3/16/20,2.0869,1.9958,0.4401,RP103,0,0,1.5,18.9,1.856444618,114.2,0,73.8,1381.4,0,17.58010238,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.6,66.0455957
104,Blue-047,3/17/20,Control,Lipid,1,3,5/14/20,2.2976,2.1877,0.3533,RP104,0,0,0.7,8.9,1.255638328,178.5,0,34.2,1433.2,0,26.22715835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.2,59.25087272
105,Blue-049,1/13/20,Control,Protein,1,1,3/13/20,2.2285,2.1327,0.4473,RP105,0,0,0.8,4.5,0,78,0,30.6,1327.2,0,20.23695007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.3,18.21298159
106,Blue-047,3/17/20,Control,Lipid,1,2,5/13/20,2.1891,2.0523,0.3456,RP106,0,0,0.6,10.6,0,156.5,0,47,1079.3,0,24.73206195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.4,18.47993827
107,SEM 19-1354,3/17/20,Control,Protein,1,3,5/23/20,2.0537,1.9557,0.2881,RP107,0,0,2.2,34.2,3.866122135,200,0,225.6,3190,0,33.11796044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.8,91.17204674
108,617,3/17/20,Control,Protein,1,2,6/1/20,2.1365,2.0575,0.3556,RP108,0,0,1,17.4,0,211.1,0,215,2794.3,0,34.09837532,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.4,67.11661042
109,Blue-035,1/13/20,MG,Protein,1,1,3/12/20,2.162,2.0635,0.324,RP109,0,0,1.3,12.2,0,237.2,0,413.3,2405.4,0,33.69577529,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,845.3,85.18518519
110,601,3/17/20,Control,Protein,1,4,5/21/20,1.8898,1.8222,0.3607,RP110,0,0,0,3.8,0,108.4,0,107.8,2548,0,10.51302725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716.9,121.9850291
111,Blue-015,2/24/20,MG,Lipid,1,4,4/28/20,2.0334,1.9038,0.379,RP111,0,0,2,15.2,1.629427946,66.1,0,29.1,1922.4,0,11.17539316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.4,16.99208443
112,617,3/17/20,Control,Protein,1,1,5/31/20,2.1265,2.0149,0.418,RP112,0,0,1.1,18,1.454494554,176.7,0,253,2331.6,0,34.38537963,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7,429.7,44.33811802
